Label,URL
World Bank,https://www.worldbank.org/
IMF,https://www.imf.org/
CGAP,https://www.cgap.org/
GSMA,https://www.gsma.com/
Reserve Bank of Malawi,https://www.rbm.mw/
FAO,https://www.fao.org/
IFAD,https://www.ifad.org/
IFC,https://www.ifc.org/
Consumer Protection Authority,https://www.consumerprotection.org/
Central Bank guidance,https://www.centralbank.org/
Bank guidance,https://www.bankguidance.org/
Mobile operator guidance,https://www.gsma.com/mobilefordevelopment/
Insurance regulator,https://www.iaisweb.org/
NGO financial education,https://www.financialeducation.org/
SME guides,https://www.smefinanceforum.org/
