question,answer,original_question,original_answer,quality_score_q,quality_score_a,avg_quality,language,category
Kodi bajeti ndi chiyani?,Bajeti ndi dongosolo lomwe limawonetsa momwe mungagwiritsire ntchito ndikusunga ndalama zanu.,What is a budget?,A budget is a plan that shows how you will spend and save your money.,1.0,1.0,1.0,Chichewa,Budgeting & Saving
Chifukwa chiyani kuthandizidwa kuli kofunikira?,"Zimakuthandizani kuti muchepetse kugwiritsa ntchito ndalama, pewani ngongole, ndikusunga zosowa zamtsogolo.",Why is budgeting important?,"It helps you control spending, avoid debt, and save for future needs.",0.44999999999999996,0.95,0.7,Chichewa,Budgeting & Saving
Kodi 50/30/20 ndi chiyani?,"Amalimbikitsa kugwiritsa ntchito ndalama 50% pazosowa, 30% za akufuna, ndi 20% pakusunga ndalama.",What is the 50/30/20 rule?,"It suggests using 50% of income for needs, 30% for wants, and 20% for savings.",0.44,0.5897435897435896,0.5148717948717948,Chichewa,Budgeting & Saving
Kodi ndiyenera kuwunika kangati bajeti yanga?,Unikani kamodzi pamwezi kuti muwone ngati muli panjira.,How often should I review my budget?,Review it at least once a month to check if you are on track.,1.0,0.5428571428571428,0.7714285714285714,Chichewa,Budgeting & Saving
Kodi pali kusiyana kotani pakati pa zosowa ndi akufuna?,Zosowa ndizofunikira ngati chakudya ndi renti. Akufuna ndi zowonjezera ngati zosangalatsa.,What is the difference between needs and wants?,Needs are essentials like food and rent. Wants are extras like entertainment.,0.8,0.62,0.71,Chichewa,Budgeting & Saving
Kodi ndingayambitse bwanji kupulumutsa ndi ndalama zochepa?,"Yambani pang'ono, ngakhale ndi ndalama zochepa tsiku lililonse, ndipo muzilimbitsa chizolowezi.",How can I start saving with a low income?,"Start small, even with a few coins daily, and build the habit.",0.6666666666666667,0.6,0.6333333333333333,Chichewa,Budgeting & Saving
Kodi ndichifukwa chiyani kuli koyenera kukhazikitsa zofunika pa moyo?,Zolinga zimakupatsirani chidwi ndi kuwongolera ndalama zanu.,Why is it good to set savings goals?,Goals give you motivation and direction for your money.,0.375,0.8,0.5875,Chichewa,Budgeting & Saving
Kodi thumba ladzidzidzi ndi liti?,Ndi ndalama zopulumutsidwa kuti zisawonongeke ngati matenda kapena kuwonongeka kwa ntchito.,What is an emergency fund?,It is money saved for unexpected expenses like illness or job loss.,1.0,0.4666666666666667,0.7333333333333334,Chichewa,Budgeting & Saving
Kodi ndiyenera kusunga ndalama zadzidzidzi ndiyenera bwanji?,Cholinga cha miyezi 3-6 ya ndalama zothandizira.,How much should I keep in an emergency fund?,Aim for 3–6 months of essential expenses.,0.8,0.3428571428571428,0.5714285714285714,Chichewa,Budgeting & Saving
Kodi ndalama zozama ndi ziti?,Ndi ndalama zochepa zokhazikika nthawi zonse pazomwe zakonzedwa ngati ndalama zakusukulu.,What are sinking funds?,They are small savings set aside regularly for planned expenses like school fees.,0.35,0.13846153846153847,0.24423076923076922,Chichewa,Budgeting & Saving
